TargetFeature,Subject,Age,Ethnicity,Sex,Block,Trial,Lag,T1SPE,T2SPE,T2isT1,T1Pos,T2Pos,T1Resp,T2Resp,T1Conf,T2Conf,T1RespPos,T2RespPos,Stim1,Stim2,Stim3,Stim4,Stim5,Stim6,Stim7,Stim8,Stim9,Stim10,Stim11,Stim12,Stim13,Stim14,Stim15,Stim16,Stim17,Stim18,Stim19,Stim20,Stim21,Stim22,Stim23,Stim24,Stim25,Stim26
AnnulusColor,108,19,White/Caucasian,male,1,1,3,-6,-9,0,6,9,,,,,,,E,U,A,O,P,L,N,Y,S,Z,F,W,R,C,X,T,D,G,V,I,H,J,K,M,B,Q
AnnulusColor,108,19,White/Caucasian,male,1,2,3,-7,-10,0,7,10,,,,,,,O,G,D,Q,F,P,X,Z,I,T,V,W,L,J,B,E,Y,U,H,A,M,C,K,R,S,N
AnnulusColor,108,19,White/Caucasian,male,1,3,3,-8,-11,0,8,11,,,,,,,H,E,K,L,M,O,R,C,J,Q,A,S,Z,T,X,N,W,I,D,V,G,Y,P,B,U,F
AnnulusColor,108,19,White/Caucasian,male,1,4,9,-6,-15,0,6,15,,,,,,,H,C,Z,I,G,E,F,N,O,M,S,Q,X,Y,A,P,L,U,J,W,R,K,D,B,T,V
AnnulusColor,108,19,White/Caucasian,male,1,5,6,-8,-14,0,8,14,,,,,,,J,H,T,N,C,P,B,E,M,O,U,K,A,L,D,R,X,Y,Z,I,G,S,Q,F,V,W
AnnulusColor,108,19,White/Caucasian,male,1,6,1,-6,-7,0,6,7,,,,,,,F,O,H,P,K,N,W,I,G,L,U,X,J,V,D,S,C,Z,Q,M,R,E,T,B,Y,A
AnnulusColor,108,19,White/Caucasian,male,1,7,3,-9,-12,0,9,12,,,,,,,P,O,Q,B,S,D,J,M,R,N,L,U,A,Z,K,T,H,V,F,X,I,W,G,C,E,Y
AnnulusColor,108,19,White/Caucasian,male,1,8,6,-9,-15,0,9,15,,,,,,,I,G,T,Q,Y,R,C,N,L,A,E,D,X,F,H,K,J,W,S,V,O,Z,U,M,B,P
AnnulusColor,108,19,White/Caucasian,male,1,9,6,-10,-16,0,10,16,,,,,,,D,X,F,I,M,Y,S,E,P,V,Q,R,A,C,L,K,T,G,H,O,W,Z,N,J,U,B
AnnulusColor,108,19,White/Caucasian,male,1,10,1,-10,-11,0,10,11,,,,,,,Q,C,M,V,R,D,I,N,F,L,E,Z,X,U,T,Y,K,G,W,B,P,H,O,S,A,J
AnnulusColor,108,19,White/Caucasian,male,2,1,9,-1,1,0,8,17,L,X,1,2,7,18,Y,D,N,K,I,U,L,W,G,H,Z,Q,A,F,V,P,M,X,J,S,B,T,E,R,O,C
AnnulusColor,108,19,White/Caucasian,male,2,2,2,16,6,0,10,12,Y,V,1,1,26,18,N,L,C,B,Q,X,R,T,S,O,M,F,P,A,D,Z,G,V,W,I,U,K,H,J,E,Y
AnnulusColor,108,19,White/Caucasian,male,2,3,3,2,-2,0,6,9,V,W,1,2,8,7,I,O,P,A,N,U,W,V,G,D,K,L,Q,S,H,Z,B,X,R,J,C,Y,M,E,F,T
AnnulusColor,108,19,White/Caucasian,male,2,4,2,0,-6,0,7,9,I,G,1,1,7,3,J,Q,G,N,Z,M,I,O,X,A,V,C,F,S,K,L,H,U,P,D,T,W,E,B,Y,R
AnnulusColor,108,19,White/Caucasian,male,2,5,3,-5,7,0,10,13,E,I,1,2,5,20,Q,B,A,W,E,P,Y,R,L,H,D,S,O,F,J,N,K,M,Z,I,G,V,T,C,U,X
AnnulusColor,108,19,White/Caucasian,male,2,6,2,19,1,0,7,9,Z,X,1,2,26,10,V,A,Y,M,O,U,R,D,H,X,B,E,P,K,C,L,Q,W,S,G,J,F,I,T,N,Z
AnnulusColor,108,19,White/Caucasian,male,2,7,1,1,5,0,10,11,K,J,2,1,11,16,W,A,N,Q,Y,P,E,O,T,F,K,M,G,D,U,J,C,I,Z,V,R,X,S,B,H,L
AnnulusColor,108,19,White/Caucasian,male,2,8,1,0,16,0,6,7,W,O,2,1,6,23,Q,V,K,E,I,W,F,Y,L,U,P,H,Z,J,G,N,R,X,A,B,T,D,O,C,M,S
AnnulusColor,108,19,White/Caucasian,male,2,9,2,-2,14,0,9,11,H,F,1,2,7,25,R,N,E,S,I,V,H,U,Q,P,X,Y,T,K,B,M,C,D,O,Z,J,W,A,L,F,G
AnnulusColor,108,19,White/Caucasian,male,2,10,6,0,5,0,7,13,Q,R,2,2,7,18,K,E,F,J,Z,W,Q,O,H,X,D,G,M,T,L,N,S,R,V,C,B,U,I,P,Y,A
AnnulusColor,108,19,White/Caucasian,male,2,11,1,-1,-4,0,7,8,B,P,2,1,6,4,J,G,H,P,E,B,U,N,C,A,Y,X,K,L,Z,V,W,O,M,F,R,I,T,D,Q,S
AnnulusColor,108,19,White/Caucasian,male,2,12,2,-1,0,0,6,8,H,T,2,1,5,8,M,E,D,J,H,U,O,T,N,F,A,Y,L,P,Z,S,I,V,C,X,B,W,R,G,Q,K
AnnulusColor,108,19,White/Caucasian,male,2,13,9,-2,7,0,10,19,S,Q,2,2,8,26,H,T,F,A,B,K,M,S,L,J,V,N,C,U,G,D,I,E,W,R,Y,P,X,Z,O,Q
AnnulusColor,108,19,White/Caucasian,male,2,14,2,0,-3,0,8,10,N,S,2,1,8,7,Z,X,G,A,K,F,S,N,H,I,R,T,D,C,Q,L,E,W,Y,O,U,J,V,P,M,B
