SOA,Subject,Session,Age,Ethnicity,Sex,Trial,AnnulusSize,Lag,T1Position,T2Position,T1Conf,T2Conf,T1SPE,T2SPE,T1Resp,T2Resp
66,10,1,18,White/Caucasian,female,1,large,2,8,10,2,1,17,11,L,M
66,10,1,18,White/Caucasian,female,2,large,9,9,18,1,1,0,0,H,R
66,10,1,18,White/Caucasian,female,3,medium,1,6,7,1,1,1,6,N,K
66,10,1,18,White/Caucasian,female,4,large,3,10,13,2,1,0,-7,M,W
66,10,1,18,White/Caucasian,female,5,medium,3,9,12,1,1,-2,-8,L,U
66,10,1,18,White/Caucasian,female,6,large,2,6,8,1,1,0,17,E,I
66,10,1,18,White/Caucasian,female,7,small,6,10,16,1,1,1,,N,
66,10,1,18,White/Caucasian,female,8,small,3,9,12,2,1,0,8,A,F
66,10,1,18,White/Caucasian,female,9,medium,6,9,15,1,1,1,2,L,K
66,10,1,18,White/Caucasian,female,10,small,6,7,13,2,1,0,3,M,T
66,10,1,18,White/Caucasian,female,11,medium,6,6,12,1,1,1,0,K,O
66,10,1,18,White/Caucasian,female,12,large,6,10,16,1,2,-2,2,M,J
66,10,1,18,White/Caucasian,female,13,medium,6,10,16,1,2,7,0,L,M
66,10,1,18,White/Caucasian,female,14,large,3,9,12,,2,17,12,T,F
66,10,1,18,White/Caucasian,female,15,small,1,7,8,2,1,1,15,Q,Y
66,10,1,18,White/Caucasian,female,16,small,6,8,14,2,1,-1,8,Z,H
66,10,1,18,White/Caucasian,female,17,medium,2,6,8,2,1,0,6,Y,D
66,10,1,18,White/Caucasian,female,18,small,1,10,11,2,1,-1,-7,R,C
66,10,1,18,White/Caucasian,female,19,medium,2,8,10,1,1,0,-3,S,K
66,10,1,18,White/Caucasian,female,20,large,2,7,9,1,1,1,16,L,H
66,10,1,18,White/Caucasian,female,21,medium,3,6,9,1,1,-1,6,A,L
66,10,1,18,White/Caucasian,female,22,large,1,7,8,1,1,-1,1,Q,P
66,10,1,18,White/Caucasian,female,23,large,1,6,7,1,1,-2,-6,U,B
66,10,1,18,White/Caucasian,female,24,large,6,6,12,1,1,0,1,J,A
66,10,1,18,White/Caucasian,female,25,large,1,10,11,2,1,1,3,Z,V
66,10,1,18,White/Caucasian,female,26,medium,9,10,19,1,1,-1,-5,M,L
66,10,1,18,White/Caucasian,female,27,small,1,9,10,1,1,15,16,Y,J
66,10,1,18,White/Caucasian,female,28,medium,2,9,11,3,1,-1,3,M,P
66,10,1,18,White/Caucasian,female,29,medium,1,7,8,2,1,1,-2,P,K
66,10,1,18,White/Caucasian,female,30,large,9,6,15,,2,-1,1,O,S
66,10,1,18,White/Caucasian,female,31,medium,9,8,17,1,2,3,2,J,B
66,10,1,18,White/Caucasian,female,32,large,3,7,10,1,1,-1,-8,N,T
66,10,1,18,White/Caucasian,female,33,medium,3,8,11,2,1,0,-2,E,T
66,10,1,18,White/Caucasian,female,34,large,6,7,13,1,1,0,7,K,H
66,10,1,18,White/Caucasian,female,35,large,9,7,16,1,1,0,5,P,G
66,10,1,18,White/Caucasian,female,36,medium,6,7,13,1,1,1,-7,Y,P
