SOA,Subject,Age,Ethnicity,Sex,Block,Lag,T1Pos,T2Pos,T1RespPos,T2RespPos,T1SPE,T2SPE,T1Resp,T2Resp,T1Conf,T2Conf
83,32,22,Black/African American,female,2,3,8,11,8,13,0,2,M,S,1,1
83,32,22,Black/African American,female,2,2,8,10,10,13,2,3,J,L,1,1
83,32,22,Black/African American,female,2,6,6,12,7,15,1,3,U,D,2,2
83,32,22,Black/African American,female,2,3,6,9,9,12,3,3,M,C,1,1
83,32,22,Black/African American,female,2,6,6,12,7,12,1,0,V,H,1,1
83,32,22,Black/African American,female,2,2,10,12,11,12,1,0,F,Y,1,1
83,32,22,Black/African American,female,2,2,6,8,7,14,1,6,S,R,1,1
83,32,22,Black/African American,female,2,9,10,19,3,14,-7,-5,M,J,1,1
83,32,22,Black/African American,female,2,2,7,9,10,7,3,-2,U,A,1,1
83,32,22,Black/African American,female,2,6,8,14,15,8,7,-6,C,E,1,1
83,32,22,Black/African American,female,2,9,10,19,26,10,16,-9,O,L,1,1
83,32,22,Black/African American,female,2,6,10,16,14,13,4,-3,G,K,1,1
83,32,22,Black/African American,female,2,2,7,9,10,23,3,14,D,U,1,1
83,32,22,Black/African American,female,2,3,8,11,10,24,2,13,W,M,1,1
83,32,22,Black/African American,female,2,1,10,11,11,8,1,-3,F,G,1,1
83,32,22,Black/African American,female,2,2,9,11,6,9,-3,-2,B,V,1,1
83,32,22,Black/African American,female,2,9,8,17,9,3,1,-14,S,R,1,1
83,32,22,Black/African American,female,2,6,9,15,10,12,1,-3,V,H,1,1
83,32,22,Black/African American,female,2,3,9,12,9,12,0,0,F,R,1,1
83,32,22,Black/African American,female,2,1,8,9,23,14,15,5,O,P,1,1
83,32,22,Black/African American,female,2,6,8,14,9,14,1,0,S,V,1,
83,32,22,Black/African American,female,2,1,7,8,15,22,8,14,R,E,1,1
83,32,22,Black/African American,female,2,1,8,9,9,18,1,9,B,L,1,
83,32,22,Black/African American,female,2,9,6,15,7,1,1,-14,P,L,1,
83,32,22,Black/African American,female,2,6,9,15,9,15,0,0,W,V,2,2
83,32,22,Black/African American,female,2,9,7,16,7,16,0,0,S,R,3,3
83,32,22,Black/African American,female,2,6,8,14,8,7,0,-7,Y,R,1,1
83,32,22,Black/African American,female,2,2,6,8,4,13,-2,5,V,B,1,
83,32,22,Black/African American,female,2,1,9,10,9,10,0,0,F,E,,1
83,32,22,Black/African American,female,2,6,9,15,9,15,0,0,T,C,1,1
83,32,22,Black/African American,female,2,2,7,9,7,9,0,0,N,A,1,1
83,32,22,Black/African American,female,2,2,8,10,10,15,2,5,P,R,1,1
83,32,22,Black/African American,female,2,6,7,13,8,15,1,2,W,S,1,1
83,32,22,Black/African American,female,2,9,9,18,8,8,-1,-10,D,D,1,1
83,32,22,Black/African American,female,2,1,9,10,10,16,1,6,J,I,,
83,32,22,Black/African American,female,2,1,7,8,8,7,1,-1,O,H,,
83,32,22,Black/African American,female,2,1,10,11,10,11,0,0,K,I,2,1
83,32,22,Black/African American,female,2,2,9,11,9,2,0,-9,F,Y,1,1
83,32,22,Black/African American,female,2,9,9,18,9,8,0,-10,Y,I,1,1
83,32,22,Black/African American,female,2,6,10,16,11,16,1,0,S,U,1,1
83,32,22,Black/African American,female,2,3,9,12,10,7,1,-5,J,X,1,1
83,32,22,Black/African American,female,2,9,8,17,9,18,1,1,E,M,1,1
83,32,22,Black/African American,female,2,9,10,19,9,21,-1,2,N,U,1,1
83,32,22,Black/African American,female,2,3,8,11,8,20,0,9,I,Q,1,1
83,32,22,Black/African American,female,2,3,7,10,7,2,0,-8,K,J,1,2
83,32,22,Black/African American,female,2,3,6,9,6,7,0,-2,V,M,1,1
83,32,22,Black/African American,female,2,3,7,10,7,10,0,0,C,H,1,1
83,32,22,Black/African American,female,2,3,9,12,23,19,14,7,T,H,1,1
83,32,22,Black/African American,female,2,6,6,12,7,23,1,11,V,N,1,1
83,32,22,Black/African American,female,2,9,9,18,10,18,1,0,R,V,1,1
83,32,22,Black/African American,female,2,3,6,9,9,10,3,1,C,A,1,1
83,32,22,Black/African American,female,2,1,8,9,9,26,1,17,P,K,1,2
83,32,22,Black/African American,female,2,3,10,13,24,14,14,1,U,I,2,1
